project_title,project_description,project_skills,project_budget,project_id,project_DOR,project_deadline
Build a Java Programming Platform,This project involves Java Programming and requires a team of 6 developers proficient in Java Programming. The project will involve 4 months of work and a budget of $389528.,"['Java Programming', 'UI/UX Design']",397000,PLCS0189,2021-04-01,2021-06-24
Design a Machine Learning Project,This project involves Machine Learning and requires a team of 2 developers proficient in Machine Learning. The project will involve 4 months of work and a budget of $193046.,"['Machine Learning', 'Java Programming']",274000,PLCS0190,2022-08-04,2021-03-25
Build a UI/UX Design Tool,This project involves UI/UX Design and requires a team of 6 developers proficient in UI/UX Design. The project will involve 3 months of work and a budget of $366879.,"['UI/UX Design', 'Android Mobile App Programming']",84000,PLCS0191,2021-12-26,2021-05-27
Develop a Machine Learning Project,This project involves Machine Learning and requires a team of 2 developers proficient in Machine Learning. The project will involve 3 months of work and a budget of $35618.,"['Machine Learning', 'Web Development']",69000,PLCS0192,2021-12-02,2021-02-25
Design a UI/UX Design App,This project involves UI/UX Design and requires a team of 6 developers proficient in UI/UX Design. The project will involve 6 months of work and a budget of $303985.,['UI/UX Design'],194000,PLCS0193,2021-05-24,2021-03-08
Code a Android Mobile App Programming Tool,This project involves Android Mobile App Programming and requires a team of 4 developers proficient in Android Mobile App Programming. The project will involve 3 months of work and a budget of $41371.,"['Android Mobile App Programming', 'Data Analysis']",122000,PLCS0194,2021-08-06,2021-05-15
Build a Java Programming System,This project involves Java Programming and requires a team of 6 developers proficient in Java Programming. The project will involve 5 months of work and a budget of $86432.,['Java Programming'],326000,PLCS0195,2022-01-05,2021-06-14
Code a Machine Learning Tool,This project involves Machine Learning and requires a team of 5 developers proficient in Machine Learning. The project will involve 5 months of work and a budget of $202266.,['Machine Learning'],72000,PLCS0196,2022-07-23,2021-05-19
Create a Android Mobile App Programming System,This project involves Android Mobile App Programming and requires a team of 2 developers proficient in Android Mobile App Programming. The project will involve 3 months of work and a budget of $334575.,"['Android Mobile App Programming', 'UI/UX Design']",88500,PLCS0197,2022-12-18,2021-02-13
Implement a Web Development System,This project involves Web Development and requires a team of 6 developers proficient in Web Development. The project will involve 5 months of work and a budget of $369016.,"['Web Development', 'UI/UX Design']",56500,PLCS0198,2021-10-06,2021-03-12
Code a UI/UX Design Project,This project involves UI/UX Design and requires a team of 4 developers proficient in UI/UX Design. The project will involve 3 months of work and a budget of $248503.,['UI/UX Design'],52000,PLCS0199,2021-12-01,2021-05-09
Design a C++ Programming Platform,This project involves C++ Programming and requires a team of 3 developers proficient in C++ Programming. The project will involve 4 months of work and a budget of $319484.,"['C++ Programming', 'UI/UX Design']",332000,PLCS0200,2022-05-27,2021-03-28
Build a Java Programming App,This project involves Java Programming and requires a team of 2 developers proficient in Java Programming. The project will involve 3 months of work and a budget of $322400.,"['Java Programming', 'Machine Learning']",353000,PLCS0201,2021-07-29,2021-06-14
Code a Machine Learning App,This project involves Machine Learning and requires a team of 4 developers proficient in Machine Learning. The project will involve 3 months of work and a budget of $332641.,['Machine Learning'],359000,PLCS0202,2021-06-15,2021-02-01
Design a Machine Learning System,This project involves Machine Learning and requires a team of 3 developers proficient in Machine Learning. The project will involve 5 months of work and a budget of $74462.,"['Machine Learning', 'Android Mobile App Programming']",157500,PLCS0203,2022-09-15,2021-02-03
Code a C++ Programming Project,This project involves C++ Programming and requires a team of 6 developers proficient in C++ Programming. The project will involve 6 months of work and a budget of $208103.,['C++ Programming'],391500,PLCS0204,2022-06-20,2021-04-22
Implement a UI/UX Design Platform,This project involves UI/UX Design and requires a team of 5 developers proficient in UI/UX Design. The project will involve 5 months of work and a budget of $250048.,['UI/UX Design'],319000,PLCS0205,2021-12-11,2021-06-30
Create a Java Programming System,This project involves Java Programming and requires a team of 5 developers proficient in Java Programming. The project will involve 5 months of work and a budget of $97604.,['Java Programming'],175500,PLCS0206,2022-07-08,2021-02-04
Design a C++ Programming Platform,This project involves C++ Programming and requires a team of 4 developers proficient in C++ Programming. The project will involve 5 months of work and a budget of $211418.,['C++ Programming'],66500,PLCS0207,2022-08-16,2021-06-30
Develop a Java Programming Platform,This project involves Java Programming and requires a team of 6 developers proficient in Java Programming. The project will involve 4 months of work and a budget of $346961.,['Java Programming'],334000,PLCS0208,2021-09-08,2021-06-19
Implement a Java Programming Tool,This project involves Java Programming and requires a team of 5 developers proficient in Java Programming. The project will involve 3 months of work and a budget of $231865.,"['Java Programming', 'C++ Programming']",272000,PLCS0209,2021-10-04,2021-05-20
Implement a Machine Learning Tool,This project involves Machine Learning and requires a team of 5 developers proficient in Machine Learning. The project will involve 6 months of work and a budget of $335028.,"['Machine Learning', 'UI/UX Design']",308000,PLCS0210,2022-08-20,2021-03-08
Build a Android Mobile App Programming Platform,This project involves Android Mobile App Programming and requires a team of 2 developers proficient in Android Mobile App Programming. The project will involve 6 months of work and a budget of $196521.,['Android Mobile App Programming'],248000,PLCS0211,2021-02-21,2021-05-28
Develop a Machine Learning Project,This project involves Machine Learning and requires a team of 3 developers proficient in Machine Learning. The project will involve 3 months of work and a budget of $259411.,['Machine Learning'],372500,PLCS0212,2022-05-31,2021-04-29
Implement a C++ Programming Tool,This project involves C++ Programming and requires a team of 3 developers proficient in C++ Programming. The project will involve 3 months of work and a budget of $381598.,"['C++ Programming', 'Java Programming']",353500,PLCS0213,2021-04-12,2021-02-14
Design a Machine Learning System,This project involves Machine Learning and requires a team of 2 developers proficient in Machine Learning. The project will involve 4 months of work and a budget of $207252.,['Machine Learning'],78500,PLCS0214,2022-02-02,2021-03-13
Design a Android Mobile App Programming Platform,This project involves Android Mobile App Programming and requires a team of 3 developers proficient in Android Mobile App Programming. The project will involve 4 months of work and a budget of $274836.,['Android Mobile App Programming'],139500,PLCS0215,2021-12-16,2021-06-10
Build a Java Programming App,This project involves Java Programming and requires a team of 6 developers proficient in Java Programming. The project will involve 5 months of work and a budget of $393978.,['Java Programming'],95500,PLCS0216,2022-03-18,2021-04-07
Build a Machine Learning System,This project involves Machine Learning and requires a team of 4 developers proficient in Machine Learning. The project will involve 3 months of work and a budget of $397248.,"['Machine Learning', 'Android Mobile App Programming']",53500,PLCS0217,2022-02-15,2021-06-12
Implement a Android Mobile App Programming Tool,This project involves Android Mobile App Programming and requires a team of 6 developers proficient in Android Mobile App Programming. The project will involve 6 months of work and a budget of $376793.,"['Android Mobile App Programming', 'UI/UX Design']",200000,PLCS0218,2022-02-02,2021-06-02
Code a Data Analysis System,This project involves Data Analysis and requires a team of 4 developers proficient in Data Analysis. The project will involve 4 months of work and a budget of $303116.,"['Data Analysis', 'Web Development']",39000,PLCS0219,2021-07-28,2021-06-16
Implement a Java Programming System,This project involves Java Programming and requires a team of 2 developers proficient in Java Programming. The project will involve 5 months of work and a budget of $33455.,"['Java Programming', 'Data Analysis']",185000,PLCS0220,2022-05-04,2021-03-16
Create a Android Mobile App Programming Platform,This project involves Android Mobile App Programming and requires a team of 3 developers proficient in Android Mobile App Programming. The project will involve 4 months of work and a budget of $245199.,"['Android Mobile App Programming', 'Java Programming']",174000,PLCS0221,2022-10-03,2021-04-19
Create a UI/UX Design Project,This project involves UI/UX Design and requires a team of 5 developers proficient in UI/UX Design. The project will involve 5 months of work and a budget of $46702.,"['UI/UX Design', 'Data Analysis']",150500,PLCS0222,2022-05-11,2021-03-10
Develop a Data Analysis Platform,This project involves Data Analysis and requires a team of 2 developers proficient in Data Analysis. The project will involve 4 months of work and a budget of $80122.,['Data Analysis'],321500,PLCS0223,2022-08-12,2021-03-13
Implement a C++ Programming App,This project involves C++ Programming and requires a team of 2 developers proficient in C++ Programming. The project will involve 3 months of work and a budget of $99473.,"['C++ Programming', 'Data Analysis']",130500,PLCS0224,2021-01-13,2021-04-19
Develop a UI/UX Design App,This project involves UI/UX Design and requires a team of 2 developers proficient in UI/UX Design. The project will involve 6 months of work and a budget of $76906.,['UI/UX Design'],237000,PLCS0225,2022-08-28,2021-05-08
Create a Java Programming App,This project involves Java Programming and requires a team of 5 developers proficient in Java Programming. The project will involve 5 months of work and a budget of $149769.,"['Java Programming', 'Android Mobile App Programming']",302000,PLCS0226,2022-01-02,2021-05-15
Build a Java Programming Platform,This project involves Java Programming and requires a team of 6 developers proficient in Java Programming. The project will involve 4 months of work and a budget of $108965.,"['Java Programming', 'Android Mobile App Programming']",97000,PLCS0227,2022-06-08,2021-06-01
Implement a Java Programming System,This project involves Java Programming and requires a team of 2 developers proficient in Java Programming. The project will involve 6 months of work and a budget of $65474.,['Java Programming'],232500,PLCS0228,2021-10-16,2021-06-17
Develop a Machine Learning App,This project involves Machine Learning and requires a team of 6 developers proficient in Machine Learning. The project will involve 6 months of work and a budget of $278755.,['Machine Learning'],119000,PLCS0229,2021-03-18,2021-04-22
Create a Java Programming App,This project involves Java Programming and requires a team of 5 developers proficient in Java Programming. The project will involve 6 months of work and a budget of $99213.,"['Java Programming', 'UI/UX Design']",36500,PLCS0230,2021-07-22,2021-02-25
Create a C++ Programming Tool,This project involves C++ Programming and requires a team of 3 developers proficient in C++ Programming. The project will involve 5 months of work and a budget of $44099.,"['C++ Programming', 'UI/UX Design']",398500,PLCS0231,2021-04-20,2021-02-06
Build a Java Programming Tool,This project involves Java Programming and requires a team of 4 developers proficient in Java Programming. The project will involve 4 months of work and a budget of $85830.,"['Java Programming', 'UI/UX Design']",369000,PLCS0232,2022-10-20,2021-05-03
Implement a Machine Learning App,This project involves Machine Learning and requires a team of 4 developers proficient in Machine Learning. The project will involve 5 months of work and a budget of $168043.,"['Machine Learning', 'UI/UX Design']",163500,PLCS0233,2022-03-02,2021-04-05
Create a Machine Learning Project,This project involves Machine Learning and requires a team of 2 developers proficient in Machine Learning. The project will involve 3 months of work and a budget of $58618.,['Machine Learning'],168000,PLCS0234,2021-08-18,2021-06-30
Build a C++ Programming Tool,This project involves C++ Programming and requires a team of 5 developers proficient in C++ Programming. The project will involve 6 months of work and a budget of $169401.,"['C++ Programming', 'Android Mobile App Programming']",313000,PLCS0235,2022-05-04,2021-05-21
Develop a Java Programming Project,This project involves Java Programming and requires a team of 6 developers proficient in Java Programming. The project will involve 3 months of work and a budget of $121479.,"['Java Programming', 'Web Development']",178500,PLCS0236,2022-10-05,2021-06-10
Design a C++ Programming Project,This project involves C++ Programming and requires a team of 4 developers proficient in C++ Programming. The project will involve 6 months of work and a budget of $265987.,"['C++ Programming', 'Web Development']",125000,PLCS0237,2022-05-03,2021-02-02
Implement a Android Mobile App Programming Tool,This project involves Android Mobile App Programming and requires a team of 5 developers proficient in Android Mobile App Programming. The project will involve 5 months of work and a budget of $68954.,['Android Mobile App Programming'],106500,PLCS0238,2021-07-03,2021-04-17
Implement a Android Mobile App Programming Tool,This project involves Android Mobile App Programming and requires a team of 6 developers proficient in Android Mobile App Programming. The project will involve 4 months of work and a budget of $191694.,"['Android Mobile App Programming', 'UI/UX Design']",31000,PLCS0239,2022-10-12,2021-02-10
Design a Android Mobile App Programming System,This project involves Android Mobile App Programming and requires a team of 2 developers proficient in Android Mobile App Programming. The project will involve 3 months of work and a budget of $309948.,"['Android Mobile App Programming', 'Java Programming']",93000,PLCS0240,2022-04-12,2021-05-24
Develop a Data Analysis Tool,This project involves Data Analysis and requires a team of 6 developers proficient in Data Analysis. The project will involve 6 months of work and a budget of $157046.,['Data Analysis'],247000,PLCS0241,2021-05-21,2021-05-17
Implement a C++ Programming System,This project involves C++ Programming and requires a team of 4 developers proficient in C++ Programming. The project will involve 3 months of work and a budget of $213265.,"['C++ Programming', 'UI/UX Design']",212000,PLCS0242,2022-09-29,2021-06-29
Design a Data Analysis Project,This project involves Data Analysis and requires a team of 3 developers proficient in Data Analysis. The project will involve 6 months of work and a budget of $170708.,['Data Analysis'],105000,PLCS0243,2022-06-28,2021-05-13
Implement a Data Analysis System,This project involves Data Analysis and requires a team of 4 developers proficient in Data Analysis. The project will involve 5 months of work and a budget of $272155.,"['Data Analysis', 'Java Programming']",209500,PLCS0244,2021-10-03,2021-05-16
Create a C++ Programming App,This project involves C++ Programming and requires a team of 4 developers proficient in C++ Programming. The project will involve 6 months of work and a budget of $314581.,['C++ Programming'],196500,PLCS0245,2021-02-23,2021-02-14
Create a Android Mobile App Programming App,This project involves Android Mobile App Programming and requires a team of 4 developers proficient in Android Mobile App Programming. The project will involve 4 months of work and a budget of $204560.,['Android Mobile App Programming'],41500,PLCS0246,2022-01-07,2021-04-30
Design a Web Development Platform,This project involves Web Development and requires a team of 4 developers proficient in Web Development. The project will involve 3 months of work and a budget of $367319.,['Web Development'],384000,PLCS0247,2021-07-20,2021-05-01
Design a Data Analysis App,This project involves Data Analysis and requires a team of 6 developers proficient in Data Analysis. The project will involve 5 months of work and a budget of $255903.,['Data Analysis'],325000,PLCS0248,2022-11-08,2021-04-19
Develop a UI/UX Design System,This project involves UI/UX Design and requires a team of 2 developers proficient in UI/UX Design. The project will involve 4 months of work and a budget of $69768.,['UI/UX Design'],317500,PLCS0249,2022-03-19,2021-03-25
Code a Data Analysis Tool,This project involves Data Analysis and requires a team of 6 developers proficient in Data Analysis. The project will involve 3 months of work and a budget of $201089.,['Data Analysis'],276500,PLCS0250,2021-10-16,2021-02-02
Develop a Data Analysis App,This project involves Data Analysis and requires a team of 3 developers proficient in Data Analysis. The project will involve 3 months of work and a budget of $213619.,"['Data Analysis', 'Android Mobile App Programming']",44000,PLCS0251,2022-05-12,2021-05-14
Code a Data Analysis Tool,This project involves Data Analysis and requires a team of 4 developers proficient in Data Analysis. The project will involve 6 months of work and a budget of $87749.,['Data Analysis'],327500,PLCS0252,2022-03-26,2021-04-09
Develop a Java Programming System,This project involves Java Programming and requires a team of 2 developers proficient in Java Programming. The project will involve 3 months of work and a budget of $49304.,"['Java Programming', 'Android Mobile App Programming']",227000,PLCS0253,2022-01-11,2021-02-27
Develop a Data Analysis Project,This project involves Data Analysis and requires a team of 3 developers proficient in Data Analysis. The project will involve 4 months of work and a budget of $294781.,"['Data Analysis', 'Machine Learning']",229000,PLCS0254,2022-02-26,2021-04-15
Develop a Android Mobile App Programming Tool,This project involves Android Mobile App Programming and requires a team of 2 developers proficient in Android Mobile App Programming. The project will involve 4 months of work and a budget of $285326.,['Android Mobile App Programming'],179500,PLCS0255,2021-04-02,2021-06-18
Develop a Web Development Project,This project involves Web Development and requires a team of 5 developers proficient in Web Development. The project will involve 5 months of work and a budget of $333506.,['Web Development'],184500,PLCS0256,2021-01-10,2021-05-28
Develop a Web Development App,This project involves Web Development and requires a team of 6 developers proficient in Web Development. The project will involve 4 months of work and a budget of $177373.,"['Web Development', 'Data Analysis']",106500,PLCS0257,2022-10-25,2021-05-21
Develop a UI/UX Design App,This project involves UI/UX Design and requires a team of 6 developers proficient in UI/UX Design. The project will involve 3 months of work and a budget of $69735.,"['UI/UX Design', 'Machine Learning']",101000,PLCS0258,2022-06-28,2021-06-13
Develop a C++ Programming Tool,This project involves C++ Programming and requires a team of 3 developers proficient in C++ Programming. The project will involve 4 months of work and a budget of $180406.,"['C++ Programming', 'Android Mobile App Programming']",332000,PLCS0259,2021-04-10,2021-02-28
Design a Java Programming Project,This project involves Java Programming and requires a team of 3 developers proficient in Java Programming. The project will involve 6 months of work and a budget of $205561.,"['Java Programming', 'UI/UX Design']",214000,PLCS0260,2021-02-16,2021-04-29
Implement a Data Analysis Platform,This project involves Data Analysis and requires a team of 4 developers proficient in Data Analysis. The project will involve 4 months of work and a budget of $274764.,"['Data Analysis', 'Machine Learning']",133500,PLCS0261,2022-08-13,2021-04-28
Code a Java Programming System,This project involves Java Programming and requires a team of 3 developers proficient in Java Programming. The project will involve 5 months of work and a budget of $283880.,['Java Programming'],378000,PLCS0262,2022-11-11,2021-03-16
Code a C++ Programming Project,This project involves C++ Programming and requires a team of 4 developers proficient in C++ Programming. The project will involve 4 months of work and a budget of $333877.,"['C++ Programming', 'Android Mobile App Programming']",250500,PLCS0263,2021-03-16,2021-06-07
Build a C++ Programming System,This project involves C++ Programming and requires a team of 3 developers proficient in C++ Programming. The project will involve 6 months of work and a budget of $305920.,['C++ Programming'],268000,PLCS0264,2022-07-26,2021-02-17
Develop a Android Mobile App Programming Tool,This project involves Android Mobile App Programming and requires a team of 2 developers proficient in Android Mobile App Programming. The project will involve 4 months of work and a budget of $334581.,['Android Mobile App Programming'],276000,PLCS0265,2022-12-21,2021-02-14
Develop a UI/UX Design App,This project involves UI/UX Design and requires a team of 2 developers proficient in UI/UX Design. The project will involve 4 months of work and a budget of $58088.,"['UI/UX Design', 'Data Analysis']",243500,PLCS0266,2021-11-25,2021-05-25
Create a UI/UX Design App,This project involves UI/UX Design and requires a team of 6 developers proficient in UI/UX Design. The project will involve 4 months of work and a budget of $339810.,"['UI/UX Design', 'Web Development']",105500,PLCS0267,2021-07-12,2021-05-06
Code a Android Mobile App Programming App,This project involves Android Mobile App Programming and requires a team of 3 developers proficient in Android Mobile App Programming. The project will involve 3 months of work and a budget of $344784.,['Android Mobile App Programming'],282000,PLCS0268,2021-06-18,2021-06-11
Develop a Machine Learning System,This project involves Machine Learning and requires a team of 3 developers proficient in Machine Learning. The project will involve 5 months of work and a budget of $60402.,['Machine Learning'],370000,PLCS0269,2022-08-15,2021-04-08
Build a Java Programming System,This project involves Java Programming and requires a team of 6 developers proficient in Java Programming. The project will involve 3 months of work and a budget of $145087.,"['Java Programming', 'Web Development']",132500,PLCS0270,2021-04-23,2021-06-01
Build a Data Analysis App,This project involves Data Analysis and requires a team of 3 developers proficient in Data Analysis. The project will involve 6 months of work and a budget of $370235.,"['Data Analysis', 'Machine Learning']",155500,PLCS0271,2021-01-28,2021-03-03
Build a Machine Learning System,This project involves Machine Learning and requires a team of 6 developers proficient in Machine Learning. The project will involve 6 months of work and a budget of $81933.,"['Machine Learning', 'C++ Programming']",309500,PLCS0272,2022-06-02,2021-02-04
Design a C++ Programming App,This project involves C++ Programming and requires a team of 2 developers proficient in C++ Programming. The project will involve 3 months of work and a budget of $210454.,"['C++ Programming', 'UI/UX Design']",223500,PLCS0273,2022-03-18,2021-04-24
Design a Machine Learning Project,This project involves Machine Learning and requires a team of 3 developers proficient in Machine Learning. The project will involve 5 months of work and a budget of $48957.,"['Machine Learning', 'C++ Programming']",360000,PLCS0274,2021-11-02,2021-02-28
Code a Web Development Platform,This project involves Web Development and requires a team of 3 developers proficient in Web Development. The project will involve 5 months of work and a budget of $330225.,"['Web Development', 'Android Mobile App Programming']",65000,PLCS0275,2021-08-04,2021-03-25
Create a Android Mobile App Programming App,This project involves Android Mobile App Programming and requires a team of 3 developers proficient in Android Mobile App Programming. The project will involve 3 months of work and a budget of $228836.,['Android Mobile App Programming'],182000,PLCS0276,2022-07-03,2021-02-09
Design a C++ Programming Tool,This project involves C++ Programming and requires a team of 6 developers proficient in C++ Programming. The project will involve 6 months of work and a budget of $133242.,"['C++ Programming', 'Data Analysis']",279500,PLCS0277,2022-11-14,2021-05-15
Design a Data Analysis Platform,This project involves Data Analysis and requires a team of 2 developers proficient in Data Analysis. The project will involve 4 months of work and a budget of $370824.,"['Data Analysis', 'Java Programming']",166000,PLCS0278,2022-03-02,2021-02-16
Implement a Machine Learning System,This project involves Machine Learning and requires a team of 3 developers proficient in Machine Learning. The project will involve 6 months of work and a budget of $52406.,['Machine Learning'],173500,PLCS0279,2021-08-05,2021-04-16
Design a UI/UX Design System,This project involves UI/UX Design and requires a team of 5 developers proficient in UI/UX Design. The project will involve 5 months of work and a budget of $327665.,"['UI/UX Design', 'Data Analysis']",202500,PLCS0280,2021-12-17,2021-06-12
Develop a Android Mobile App Programming Tool,This project involves Android Mobile App Programming and requires a team of 4 developers proficient in Android Mobile App Programming. The project will involve 6 months of work and a budget of $70037.,"['Android Mobile App Programming', 'Machine Learning']",137000,PLCS0281,2021-02-18,2021-06-08
Design a Android Mobile App Programming Platform,This project involves Android Mobile App Programming and requires a team of 4 developers proficient in Android Mobile App Programming. The project will involve 3 months of work and a budget of $337117.,"['Android Mobile App Programming', 'Machine Learning']",223500,PLCS0282,2022-11-21,2021-02-05
Code a Data Analysis Platform,This project involves Data Analysis and requires a team of 3 developers proficient in Data Analysis. The project will involve 5 months of work and a budget of $253879.,['Data Analysis'],359000,PLCS0283,2022-09-22,2021-04-14
Develop a Android Mobile App Programming System,This project involves Android Mobile App Programming and requires a team of 2 developers proficient in Android Mobile App Programming. The project will involve 6 months of work and a budget of $50814.,"['Android Mobile App Programming', 'Data Analysis']",133000,PLCS0284,2022-09-01,2021-05-27
Implement a C++ Programming Tool,This project involves C++ Programming and requires a team of 2 developers proficient in C++ Programming. The project will involve 4 months of work and a budget of $119126.,"['C++ Programming', 'Machine Learning']",218500,PLCS0285,2022-03-07,2021-02-18
Design a Machine Learning Platform,This project involves Machine Learning and requires a team of 3 developers proficient in Machine Learning. The project will involve 5 months of work and a budget of $335945.,['Machine Learning'],40000,PLCS0286,2021-02-12,2021-04-11
Code a Android Mobile App Programming App,This project involves Android Mobile App Programming and requires a team of 4 developers proficient in Android Mobile App Programming. The project will involve 6 months of work and a budget of $254039.,"['Android Mobile App Programming', 'C++ Programming']",117000,PLCS0287,2021-06-15,2021-02-08
Implement a Android Mobile App Programming System,This project involves Android Mobile App Programming and requires a team of 3 developers proficient in Android Mobile App Programming. The project will involve 3 months of work and a budget of $334819.,"['Android Mobile App Programming', 'UI/UX Design']",35500,PLCS0288,2021-02-22,2021-04-12
Design a Machine Learning System,This project involves Machine Learning and requires a team of 5 developers proficient in Machine Learning. The project will involve 3 months of work and a budget of $237154.,"['Machine Learning', 'Data Analysis']",291500,PLCS0289,2021-07-19,2021-05-30
Develop a Machine Learning Platform,This project involves Machine Learning and requires a team of 5 developers proficient in Machine Learning. The project will involve 5 months of work and a budget of $166090.,['Machine Learning'],361500,PLCS0290,2022-06-07,2021-06-04
Design a Data Analysis Platform,This project involves Data Analysis and requires a team of 3 developers proficient in Data Analysis. The project will involve 5 months of work and a budget of $362156.,"['Data Analysis', 'Machine Learning']",103000,PLCS0291,2021-08-06,2021-03-19
Develop a Web Development Platform,This project involves Web Development and requires a team of 3 developers proficient in Web Development. The project will involve 3 months of work and a budget of $384194.,['Web Development'],284500,PLCS0292,2021-08-20,2021-06-18
Create a Android Mobile App Programming Platform,This project involves Android Mobile App Programming and requires a team of 5 developers proficient in Android Mobile App Programming. The project will involve 3 months of work and a budget of $72439.,['Android Mobile App Programming'],44500,PLCS0293,2022-06-14,2021-06-21
Code a Java Programming Platform,This project involves Java Programming and requires a team of 2 developers proficient in Java Programming. The project will involve 6 months of work and a budget of $270518.,"['Java Programming', 'UI/UX Design']",293500,PLCS0294,2022-10-08,2021-03-17
Code a Android Mobile App Programming App,This project involves Android Mobile App Programming and requires a team of 5 developers proficient in Android Mobile App Programming. The project will involve 5 months of work and a budget of $128696.,['Android Mobile App Programming'],95500,PLCS0295,2021-11-12,2021-02-24
Code a Web Development Project,This project involves Web Development and requires a team of 4 developers proficient in Web Development. The project will involve 6 months of work and a budget of $314691.,['Web Development'],390500,PLCS0296,2022-12-02,2021-05-30
Develop a Android Mobile App Programming Platform,This project involves Android Mobile App Programming and requires a team of 6 developers proficient in Android Mobile App Programming. The project will involve 6 months of work and a budget of $161780.,['Android Mobile App Programming'],156500,PLCS0297,2021-12-08,2021-03-06
Develop a Android Mobile App Programming Project,This project involves Android Mobile App Programming and requires a team of 2 developers proficient in Android Mobile App Programming. The project will involve 6 months of work and a budget of $325804.,['Android Mobile App Programming'],257500,PLCS0298,2022-08-22,2021-03-23
Design a UI/UX Design System,This project involves UI/UX Design and requires a team of 6 developers proficient in UI/UX Design. The project will involve 5 months of work and a budget of $63664.,['UI/UX Design'],360500,PLCS0299,2021-03-29,2021-04-08
Design a C++ Programming Project,This project involves C++ Programming and requires a team of 2 developers proficient in C++ Programming. The project will involve 4 months of work and a budget of $309992.,['C++ Programming'],398000,PLCS0300,2022-06-06,2021-04-16
Code a Java Programming System,This project involves Java Programming and requires a team of 4 developers proficient in Java Programming. The project will involve 4 months of work and a budget of $172331.,['Java Programming'],77500,PLCS0301,2021-04-16,2021-06-25
Develop a Java Programming Project,This project involves Java Programming and requires a team of 5 developers proficient in Java Programming. The project will involve 5 months of work and a budget of $364943.,"['Java Programming', 'Web Development']",281500,PLCS0302,2022-02-11,2021-02-15
Code a Data Analysis App,This project involves Data Analysis and requires a team of 6 developers proficient in Data Analysis. The project will involve 5 months of work and a budget of $198815.,"['Data Analysis', 'Java Programming']",378000,PLCS0303,2021-05-26,2021-06-08
Build a Machine Learning Platform,This project involves Machine Learning and requires a team of 3 developers proficient in Machine Learning. The project will involve 6 months of work and a budget of $385864.,"['Machine Learning', 'C++ Programming']",136000,PLCS0304,2021-02-03,2021-03-15
Create a Java Programming Tool,This project involves Java Programming and requires a team of 4 developers proficient in Java Programming. The project will involve 6 months of work and a budget of $351804.,"['Java Programming', 'Web Development']",287000,PLCS0305,2021-05-07,2021-06-16
Implement a Android Mobile App Programming App,This project involves Android Mobile App Programming and requires a team of 4 developers proficient in Android Mobile App Programming. The project will involve 6 months of work and a budget of $61111.,"['Android Mobile App Programming', 'UI/UX Design']",279500,PLCS0306,2022-04-20,2021-03-12
Build a Machine Learning Project,This project involves Machine Learning and requires a team of 3 developers proficient in Machine Learning. The project will involve 5 months of work and a budget of $244804.,['Machine Learning'],335500,PLCS0307,2021-06-12,2021-04-03
Implement a Web Development Tool,This project involves Web Development and requires a team of 6 developers proficient in Web Development. The project will involve 3 months of work and a budget of $149115.,['Web Development'],59000,PLCS0308,2022-07-05,2021-04-24
Implement a Data Analysis Platform,This project involves Data Analysis and requires a team of 4 developers proficient in Data Analysis. The project will involve 4 months of work and a budget of $164496.,"['Data Analysis', 'UI/UX Design']",242000,PLCS0309,2022-05-01,2021-02-06
Create a Data Analysis App,This project involves Data Analysis and requires a team of 3 developers proficient in Data Analysis. The project will involve 6 months of work and a budget of $358824.,"['Data Analysis', 'C++ Programming']",151500,PLCS0310,2022-11-14,2021-04-17
Code a Java Programming Platform,This project involves Java Programming and requires a team of 4 developers proficient in Java Programming. The project will involve 3 months of work and a budget of $256216.,['Java Programming'],392000,PLCS0311,2021-12-04,2021-02-02
Develop a UI/UX Design Tool,This project involves UI/UX Design and requires a team of 2 developers proficient in UI/UX Design. The project will involve 3 months of work and a budget of $51613.,['UI/UX Design'],200500,PLCS0312,2022-03-30,2021-06-13
Code a Data Analysis System,This project involves Data Analysis and requires a team of 5 developers proficient in Data Analysis. The project will involve 4 months of work and a budget of $347894.,"['Data Analysis', 'Java Programming']",61000,PLCS0313,2021-11-09,2021-02-05
Design a Java Programming System,This project involves Java Programming and requires a team of 4 developers proficient in Java Programming. The project will involve 5 months of work and a budget of $65651.,"['Java Programming', 'Android Mobile App Programming']",189000,PLCS0314,2022-12-04,2021-05-03
Implement a Machine Learning Platform,This project involves Machine Learning and requires a team of 6 developers proficient in Machine Learning. The project will involve 6 months of work and a budget of $46298.,"['Machine Learning', 'UI/UX Design']",314500,PLCS0315,2022-05-28,2021-03-02
Build a Machine Learning Platform,This project involves Machine Learning and requires a team of 2 developers proficient in Machine Learning. The project will involve 5 months of work and a budget of $140273.,['Machine Learning'],198000,PLCS0316,2022-01-20,2021-05-21
Build a Web Development App,This project involves Web Development and requires a team of 5 developers proficient in Web Development. The project will involve 3 months of work and a budget of $166735.,"['Web Development', 'Android Mobile App Programming']",249000,PLCS0317,2021-08-28,2021-03-06
Build a Data Analysis Tool,This project involves Data Analysis and requires a team of 3 developers proficient in Data Analysis. The project will involve 4 months of work and a budget of $38828.,"['Data Analysis', 'C++ Programming']",338500,PLCS0318,2021-03-28,2021-03-14
Develop a Data Analysis App,This project involves Data Analysis and requires a team of 2 developers proficient in Data Analysis. The project will involve 3 months of work and a budget of $328935.,['Data Analysis'],81000,PLCS0319,2022-11-22,2021-04-09
